Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Searech_Checkout,Chrome 114.0.0.0,,,2023-07-04 10:13:14,2023-07-04 10:14:41,1m - 27.230s,PASSED
,,,,,,,
Test Cases/Common/TC_Launch,Chrome 114.0.0.0,,,2023-07-04 10:13:15,2023-07-04 10:13:31,16.740s,PASSED
"openBrowser(""https://www.amazon.in/"")",Chrome 114.0.0.0,,,2023-07-04 10:13:15,2023-07-04 10:13:26,11.070s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-04 10:13:26,2023-07-04 10:13:27,0.720s,PASSED
delay(4),Chrome 114.0.0.0,,,2023-07-04 10:13:27,2023-07-04 10:13:31,4.041s,PASSED
,,,,,,,
Test Cases/Shopping/TC_FirstSearch,Chrome 114.0.0.0,,,2023-07-04 10:13:31,2023-07-04 10:14:06,34.924s,PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-04 10:13:33,2023-07-04 10:13:35,2.006s,PASSED
"click(findTestObject(""Object Repository/Search/txt_Search""))",Chrome 114.0.0.0,,,2023-07-04 10:13:35,2023-07-04 10:13:36,0.972s,PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-04 10:13:36,2023-07-04 10:13:38,2.003s,PASSED
"setText(findTestObject(""Object Repository/Search/txt_Search""), ""black water bottle"")",Chrome 114.0.0.0,,,2023-07-04 10:13:38,2023-07-04 10:13:39,1.347s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-04 10:13:39,2023-07-04 10:13:42,3.003s,PASSED
"sendKeys(findTestObject(""Object Repository/Search/txt_Search""), Keys.chord(ENTER))",Chrome 114.0.0.0,,,2023-07-04 10:13:42,2023-07-04 10:13:47,4.963s,PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-04 10:13:47,2023-07-04 10:13:49,2.005s,PASSED
"click(findTestObject(""Object Repository/Search/wel_ItemImg""))",Chrome 114.0.0.0,,,2023-07-04 10:13:49,2023-07-04 10:13:50,1.078s,PASSED
delay(4),Chrome 114.0.0.0,,,2023-07-04 10:13:50,2023-07-04 10:13:54,4.005s,PASSED
switchToWindowIndex(1),Chrome 114.0.0.0,,,2023-07-04 10:13:54,2023-07-04 10:13:55,1.536s,PASSED
delay(4),Chrome 114.0.0.0,,,2023-07-04 10:13:55,2023-07-04 10:13:59,4.005s,PASSED
"click(findTestObject(""Object Repository/Search/btn_AddCart""))",Chrome 114.0.0.0,,,2023-07-04 10:13:59,2023-07-04 10:14:03,3.182s,PASSED
takeScreenshotAsCheckpoint(testl),Chrome 114.0.0.0,,,2023-07-04 10:14:03,2023-07-04 10:14:06,3.531s,PASSED
,,,,,,,
Test Cases/Shopping/TC_CheckOut,Chrome 114.0.0.0,,,2023-07-04 10:14:06,2023-07-04 10:14:13,6.790s,PASSED
delay(4),Chrome 114.0.0.0,,,2023-07-04 10:14:07,2023-07-04 10:14:11,4.007s,PASSED
"click(findTestObject(""Object Repository/pge_CheckOut/btn_CheckOut""))",Chrome 114.0.0.0,,,2023-07-04 10:14:11,2023-07-04 10:14:13,2.304s,PASSED
,,,,,,,
Test Cases/Common/TC_Inter_Login,Chrome 114.0.0.0,,,2023-07-04 10:14:13,2023-07-04 10:14:33,20.483s,PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-04 10:14:14,2023-07-04 10:14:16,2.005s,PASSED
"setText(findTestObject(""Object Repository/Common/txt_UserName""), ""preethijeffy@gmail.com"")",Chrome 114.0.0.0,,,2023-07-04 10:14:16,2023-07-04 10:14:17,0.912s,PASSED
delay(1),Chrome 114.0.0.0,,,2023-07-04 10:14:17,2023-07-04 10:14:18,1.005s,PASSED
"click(findTestObject(""Object Repository/Common/btn_continue""))",Chrome 114.0.0.0,,,2023-07-04 10:14:18,2023-07-04 10:14:19,1.841s,PASSED
delay(4),Chrome 114.0.0.0,,,2023-07-04 10:14:19,2023-07-04 10:14:23,4.004s,PASSED
"setText(findTestObject(""Object Repository/Common/txt_Password""), ""jesuslord1221*"")",Chrome 114.0.0.0,,,2023-07-04 10:14:23,2023-07-04 10:14:24,0.725s,PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-04 10:14:24,2023-07-04 10:14:26,2.005s,PASSED
"takeElementScreenshotAsCheckpoint(""test1"", findTestObject(""Common/btn_Login""))",Chrome 114.0.0.0,,,2023-07-04 10:14:26,2023-07-04 10:14:27,0.826s,PASSED
"click(findTestObject(""Object Repository/Common/btn_Login""))",Chrome 114.0.0.0,,,2023-07-04 10:14:27,2023-07-04 10:14:27,0.517s,PASSED
delay(6),Chrome 114.0.0.0,,,2023-07-04 10:14:27,2023-07-04 10:14:33,6.006s,PASSED
,,,,,,,
Test Cases/Shopping/TC_SelectDelivery,Chrome 114.0.0.0,,,2023-07-04 10:14:34,2023-07-04 10:14:41,7.487s,PASSED
delay(4),Chrome 114.0.0.0,,,2023-07-04 10:14:34,2023-07-04 10:14:38,4.003s,PASSED
"click(findTestObject(""Object Repository/pge_Delivery/rdb_DeliveryAddress""))",Chrome 114.0.0.0,,,2023-07-04 10:14:38,2023-07-04 10:14:39,0.468s,PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-04 10:14:39,2023-07-04 10:14:41,2.010s,PASSED
"click(findTestObject(""Object Repository/pge_Delivery/btn_UseAddress""))",Chrome 114.0.0.0,,,2023-07-04 10:14:41,2023-07-04 10:14:41,0.465s,PASSED
